time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.1961524525421984e-08,-2.9431953502022723e-08,10.000594478654595,6.28313786060745,6.2831507725336895,0.0,2.26534205312149e-06,-3.0752848650022426e-06,0.019815587701621076,-0.002421314179960106,-0.0017524195544895474,0.0,410.6757196020076,410.52029341276665,410.85564099823347,410.64096721168903
0.12000000000000001,1.3226381068080586e-06,-1.0862621904937486e-06,10.005601300999144,0.0003601629232594661,6.282665426528901,0.0,6.744284314053449e-05,-1.3498116171171927e-05,0.14706983841910876,0.02074963965627101,-0.025437365181965425,0.0,445.98221212922766,444.0439035269452,444.9700345089026,446.86246076043415
0.18,2.3463474055037787e-05,1.1619180209600843e-05,10.01931703184644,0.0017896844439091453,6.281141187326931,0.0,0.0008403898914387675,0.0005865797332489319,0.3100900387820847,0.02935852062115244,-0.02533732213776287,0.0,456.72925967128293,456.7371418005217,455.91487228960744,456.60211796361125
0.23999999999999996,0.00012888467999583916,9.704252982076004e-05,10.043978857231048,0.0036062956064739637,6.27976417829213,0.0,0.0028426571722173083,0.002470264342210338,0.5119007332133788,0.03205271576297029,-0.018559166471161338,0.0,467.5723928581554,468.10004883503683,468.5007873041281,468.71043039190687
0.3,0.0003792528624454159,0.00033543217305796714,10.079136966834437,0.006977553398296976,6.278131206059754,0.0,0.005639398419671235,0.005788152844778943,0.6599599581884615,0.08290022881798392,-0.056558511761669636,0.0,453.90013576970483,450.8402959587898,449.9559566286318,454.05474720453236
0.36000000000000004,0.0008465015353304873,0.0008619446143397357,10.123768592892088,0.011937552540040919,6.274807211951318,0.0,0.010311125718415238,0.012317837229825197,0.8276469474072486,0.08219566505265159,-0.05317877210410246,0.0,458.0550722555199,458.32175566964054,458.5519669231417,458.5013318089934
0.4200000000000001,0.0016562780833040552,0.0018753022763699132,10.177119078869318,0.016723040297744518,6.271959146036448,0.0,0.016996817372841096,0.021972127729066433,0.9505979176922918,0.07437682402192533,-0.037975361461252403,0.0,444.2139810505472,445.4573668705727,445.2126808266641,444.57766206910304
0.48000000000000015,0.002900706479947109,0.0035322792857442253,10.235774515751736,0.021491746246385723,6.269634158637196,0.0,0.02470265238581364,0.033700385156958224,1.0045261827919825,0.08810540586489232,-0.04034503622812069,0.0,422.21607237259,422.0107738624127,423.31380519611304,424.4987110547578
0.5400000000000001,0.004711675642035556,0.006082079429486071,10.301872126080632,0.02678187268920773,6.267263651672527,0.0,0.0359380805983036,0.05190165743605289,1.1985253302199526,0.08829512363899662,-0.037886084320497435,0.0,465.7775705010014,465.9691023533665,467.87948962057646,467.90029228477385
0.6000000000000002,0.007248401593782729,0.009843385237572732,10.379436038251207,0.031924528610163705,6.2654807397531105,0.0,0.04884519985026407,0.07407039783171998,1.3867070697275479,0.07996847825482636,-0.017008286829777917,0.0,465.57267411827996,467.20282608561615,465.1132253849036,464.46638883660285
0.6600000000000003,0.010579561130082283,0.01502204446851785,10.467357315409672,0.03636243597504496,6.264635770799947,0.0,0.062292210760743816,0.09905925862162505,1.5437824969529268,0.05791275912015147,-0.008794300631558359,0.0,456.7929704161909,457.4475704332216,457.16802157567514,455.4113979269857
0.7200000000000003,0.014775331652577226,0.021875080439948385,10.566888691468694,0.039363719217430315,6.264202121679229,0.0,0.07761858666531139,0.12976576826008424,1.7735838306809002,0.025479821595126365,-0.004264730642492583,0.0,479.36534566581946,479.70950621533916,479.30250985250836,476.8327142293238
0.7800000000000004,0.019860154013235817,0.030551523737928292,10.678101020199039,0.040598799240020966,6.263630513923275,0.0,0.09191300820728722,0.15959400303258447,1.933227879612244,0.00835005006476096,-0.02296515877254391,0.0,460.291200352578,458.8090969826074,458.5043344983634,457.1414753266351
0.8400000000000004,0.02582425239392907,0.04104969133213849,10.799104836512852,0.04081646989090881,6.262294759795624,0.0,0.10703608493303018,0.19037469718722524,2.099933581130483,-0.008061859257136164,-0.02089330375331376,0.0,460.3974964983809,460.56137814795454,462.94046756750873,461.6473179893127
0.9000000000000005,0.032726441343493416,0.05339697049292454,10.930149641293797,0.03995492868499717,6.260827897116407,0.0,0.12318104436000475,0.22111670533156844,2.2679049155443556,-0.031550094263943965,-0.032721395588727165,0.0,462.26262365843587,461.32958301843547,463.9164369265036,462.0686161859592
0.9600000000000005,0.040518693697642084,0.06736311212911929,11.066222648684306,0.038326303597335354,6.258773079333107,0.0,0.1367355338779944,0.24426710159888473,2.2678618670394206,-0.019535293657947844,-0.037486633189735934,0.0,409.45460417503506,409.02985862434446,408.97158102123393,410.0400343688312
1.0200000000000005,0.04921511653725402,0.08277445124172052,11.204453549104647,0.03778318876452591,6.2563742601786,0.0,0.1533682190038354,0.26935830960029233,2.3396845726315774,0.006336723341130229,-0.04550159554652852,0.0,434.3850656491102,433.7115692179049,431.1769783870939,433.35718416478335
1.0800000000000005,0.05896276889283283,0.09969167866525612,11.347154780479432,0.03860570039215183,6.253976017738944,0.0,0.1717998987634839,0.29460351269924495,2.416849618368472,0.02541779590199519,-0.030729943055554734,0.0,434.35337918240674,435.58948496233484,434.65283941188756,436.2488959392552
1.1400000000000006,0.06988261143388645,0.11817172632689217,11.495211921510027,0.039757081550075846,6.252314601494238,0.0,0.19236630434985855,0.32152888489271725,2.5181547049221913,0.002268862599541065,-0.022215889197748244,0.0,442.3632509528876,443.06356522255413,444.744037503619,442.8439883404739
